lat,lon,gym=0/ang=1,,,,,,,,,,,
36.722,-4.965,0,,,,,,,,,,,
36.76,-112.26,0,,,,,,,,,,,
37.8,-2.95,0,,,,,,,,,,,
37.81,-2.96,0,,,,,,,,,,,
37.833,128.417,0,,,,,,,,,,,
38.115,-2.748,0,,,,,,,,,,,
38.43333333,-119.4333333,0,,,,,,,,,,,
38.517,105.767,0,,,,,,,,,,,
39.36,-111.26,0,,,,,,,,,,,
39.817,-1.25,0,,,,,,,,,,,
39.93,16.2,0,,,,,,,,,,,
40.033,8.717,0,,,,,,,,,,,
40.288,-0.807,0,,,,,,,,,,,
40.322,-0.702,0,,,,,,,,,,,
40.329,-0.807,0,,,,,,,,,,,
40.329,-0.8,0,,,,,,,,,,,
40.391,-0.663,0,,,,,,,,,,,
40.5,-0.617,0,,,,,,,,,,,
40.54,-110.64,0,,,,,,,,,,,
41.13,14.583,0,,,,,,,,,,,
41.72,2,0,,,,,,,,,,,
41.966,-2.75,0,,,,,,,,,,,
41.967,-2.816,0,,,,,,,,,,,
42,-2.817,0,,,,,,,,,,,
42,-2.75,0,,,,,,,,,,,
42,9,0,,,,,,,,,,,
42.03,23.96,0,,,,,,,,,,,
42.067,-2.5,0,,,,,,,,,,,
42.233,1.7,0,,,,,,,,,,,
42.24,1.7,0,,,,,,,,,,,
42.262,1.633,0,,,,,,,,,,,
42.349,1.956,0,,,,,,,,,,,
42.43,-0.967,0,,,,,,,,,,,
42.647,0.835,0,,,,,,,,,,,
42.75,-0.867,0,,,,,,,,,,,
42.867,-0.8,0,,,,,,,,,,,
43.05,-5.25,0,,,,,,,,,,,
43.07,-5.25,0,,,,,,,,,,,
43.167,-123.8,0,,,,,,,,,,,
43.292,-123.583,0,,,,,,,,,,,
43.565,-123.777,0,,,,,,,,,,,
43.89,7.06,0,,,,,,,,,,,
43.92,7.76,0,,,,,,,,,,,
44.29,11.18,0,,,,,,,,,,,
44.4,-121.6666667,0,,,,,,,,,,,
44.417,-121.4,0,,,,,,,,,,,
44.527,-122.632,0,,,,,,,,,,,
44.7,-0.767,0,,,,,,,,,,,
44.73,-94,0,,,,,,,,,,,
45.018,6.5355,0,,,,,,,,,,,
45.78305556,7.54777778,0,,,,,,,,,,,
45.928,-114.265,0,,,,,,,,,,,
46,10,0,,,,,,,,,,,
46.08,11.05083,0,,,,,,,,,,,
46.08,11.051,0,,,,,,,,,,,
46.25,11.495,0,,,,,,,,,,,
46.25,11.49527778,0,,,,,,,,,,,
46.292,11.613,0,,,,,,,,,,,
46.29222222,11.61361111,0,,,,,,,,,,,
46.3,7.6,0,,,,,,,,,,,
46.394465,14.221239,0,,,,,,,,,,,
46.408,7.792,0,,,,,,,,,,,
46.40833333,7.79166667,0,,,,,,,,,,,
46.417,7.817,0,,,,,,,,,,,
46.433,7.8,0,,,,,,,,,,,
46.5,8.76,0,,,,,,,,,,,
46.5,8.767,0,,,,,,,,,,,
46.5,8.77,0,,,,,,,,,,,
46.65,-113.65,0,,,,,,,,,,,
46.674994,10.169984,0,,,,,,,,,,,
46.678149,10.169771,0,,,,,,,,,,,
46.77795,-111.777,0,,,,,,,,,,,
46.856,-114.685,0,,,,,,,,,,,
46.91,6.79,0,,,,,,,,,,,
46.954,-114.328,0,,,,,,,,,,,
47.0333,8.717,0,,,,,,,,,,,
47.133,7.58,0,,,,,,,,,,,
